Done|song|artist|album|genre|track|filePath|FileName
x|You Get What You Give|New Radicals|100% Hits - the Best of 1999|Pop|18|/mnt/PiNAS/music/malendragem/New Radicals/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 18 - New Radicals - You Get What You Give.mp3|100% Hits - The Best of 1999 (Disc 1) - 18 - New Radicals - You Get What You Give.mp3
x|Happiness|Regurgitator|100% Hits - the Best of 1999|Pop|19|/mnt/PiNAS/music/malendragem/Regurgitator/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 19 - Regurgitator - Happiness.mp3|100% Hits - The Best of 1999 (Disc 1) - 19 - Regurgitator - Happiness.mp3
x|Pumping On Your Stereo|Supergrass|100% Hits - the Best of 1999|Pop|20|/mnt/PiNAS/music/malendragem/Supergrass/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 20 - SuperGrass - Pumping On Your Stereo.mp3|100% Hits - The Best of 1999 (Disc 1) - 20 - SuperGrass - Pumping On Your Stereo.mp3
x|American Woman|Lenny Kravitz|100% Hits - the Best of 1999|Pop|1|/mnt/PiNAS/music/malendragem/Lenny Kravitz/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 01 - Lenny Kravitz - American Woman.mp3|100% Hits - The Best of 1999 (Disc 2) - 01 - Lenny Kravitz - American Woman.mp3
x|Goin' Down|Mel C|100% Hits - the Best of 1999|Pop|2|/mnt/PiNAS/music/malendragem/Mel C/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 02 - Mel C - Goin' Down.mp3|100% Hits - The Best of 1999 (Disc 2) - 02 - Mel C - Goin' Down.mp3
x|This Kiss|Faith Hill|100% Hits - the Best of 1999|Pop|3|/mnt/PiNAS/music/malendragem/Faith Hill/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 03 - Faith Hill - This Kiss.mp3|100% Hits - The Best of 1999 (Disc 2) - 03 - Faith Hill - This Kiss.mp3
x|Everywhere You Go|Taxiride|100% Hits - the Best of 1999|Pop|4|/mnt/PiNAS/music/malendragem/Taxiride/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 04 - Taxiride - Everywhere You Go.mp3|100% Hits - The Best of 1999 (Disc 2) - 04 - Taxiride - Everywhere You Go.mp3
x|Weir|Killing Heidi|100% Hits - the Best of 1999|Pop|5|/mnt/PiNAS/music/malendragem/Killing Heidi/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 05 - Killing Heidi - Weir.mp3|100% Hits - The Best of 1999 (Disc 2) - 05 - Killing Heidi - Weir.mp3
x|So Young|Corrs, The|100% Hits - the Best of 1999|Pop|6|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RQCJWKJ/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 06 - The Corrs - So Young.mp3|100% Hits - The Best of 1999 (Disc 2) - 06 - The Corrs - So Young.mp3
x|So Young|Corrs, The|100% Hits - the Best of 1999|Pop|6|/mnt/PiNAS/music/malendragem/Corrs, The/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 06 - The Corrs - So Young.mp3|100% Hits - The Best of 1999 (Disc 2) - 06 - The Corrs - So Young.mp3
x|I Don't Want To Wait|Paula Cole|100% Hits - the Best of 1999|Pop|7|/mnt/PiNAS/music/malendragem/Paula Cole/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 07 - Paula Cole - I Don't Want To Wait.mp3|100% Hits - The Best of 1999 (Disc 2) - 07 - Paula Cole - I Don't Want To Wait.mp3
x|No Matter What|Boyzone|100% Hits - the Best of 1999|Pop|8|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$R39MBBE/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 08 - Boyzone - No Matter What.mp3|100% Hits - The Best of 1999 (Disc 2) - 08 - Boyzone - No Matter What.mp3
x|No Matter What|Boyzone|100% Hits - the Best of 1999|Pop|8|/mnt/PiNAS/music/malendragem/Boyzone/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 08 - Boyzone - No Matter What.mp3|100% Hits - The Best of 1999 (Disc 2) - 08 - Boyzone - No Matter What.mp3
x|Big Big World|Emilia|100% Hits - the Best of 1999|Pop|9|/mnt/PiNAS/music/malendragem/Emilia/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 09 - Emilia - Big Big World.mp3|100% Hits - The Best of 1999 (Disc 2) - 09 - Emilia - Big Big World.mp3
x|Give It To You|Jordan Knight|100% Hits - the Best of 1999|Pop|10|/mnt/PiNAS/music/malendragem/Jordan Knight/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 10 - Jordan Knight - Give It To You.mp3|100% Hits - The Best of 1999 (Disc 2) - 10 - Jordan Knight - Give It To You.mp3
x|I Want You Back|Melanie B|100% Hits - the Best of 1999|Pop|11|/mnt/PiNAS/music/malendragem/Melanie B/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 11 - Melanie B - I Want You Back.mp3|100% Hits - The Best of 1999 (Disc 2) - 11 - Melanie B - I Want You Back.mp3
x|Look At Me|Geri Halliwell|100% Hits - the Best of 1999|Pop|12|/mnt/PiNAS/music/malendragem/Geri Halliwell/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 12 - Geri Halliwell - Look At Me.mp3|100% Hits - The Best of 1999 (Disc 2) - 12 - Geri Halliwell - Look At Me.mp3
x|We Like To Party|Vengaboys|100% Hits - the Best of 1999|Pop|13|/mnt/PiNAS/music/malendragem/Vengaboys/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 13 - Vengaboys - We Like To Party.mp3|100% Hits - The Best of 1999 (Disc 2) - 13 - Vengaboys - We Like To Party.mp3
x|Colour My Love|Barbarella|100% Hits - the Best of 1999|Pop|14|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RJB8U9Q/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 14 - Barbarella - Colour My Love.mp3|100% Hits - The Best of 1999 (Disc 2) - 14 - Barbarella - Colour My Love.mp3
